ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: about","Meta: _about","Meta: question_1_question","Meta: _question_1_question","Meta: question_1_answer","Meta: _question_1_answer","Meta: question_1","Meta: _question_1","Meta: question_2_question","Meta: _question_2_question","Meta: question_2_answer","Meta: _question_2_answer","Meta: question_2","Meta: _question_2","Meta: question_3_question","Meta: _question_3_question","Meta: question_3_answer","Meta: _question_3_answer","Meta: question_3","Meta: _question_3","Meta: question_4_question","Meta: _question_4_question","Meta: question_4_answer","Meta: _question_4_answer","Meta: question_4","Meta: _question_4"
110,"simple, virtual",wps-apple-card,"Apple Card",1,0,visible,"A premium credit card offering exclusive Apple perks and rewards, seamlessly integrated into Apple services for convenient transactions.","A prestigious credit card tailored for Apple enthusiasts, providing exclusive rewards, cashback, and enhanced security. Seamlessly integrated into Apple Pay, it simplifies transactions while offering a titanium physical card for traditional purchases.",,,taxable,,1,,,0,0,,,,,1,,240,450,"Top categories > Charge Cellphone, Most Popular products",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/apple.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"simple, virtual",wps-blau-card,"Blau Card",1,0,visible,"Providing flexible mobile options, Blau Card ensures reliable connectivity and various plans tailored to individual needs.","Blau's flexible mobile plans grant users affordable voice, SMS, and data packages. With no fixed contracts, it provides freedom and reliability on Germany's largest telecom network, enabling tailored options for individual needs.",,,taxable,,1,,,0,0,,,,,1,,250,320,"Top categories > Charge Cellphone, Most Popular products",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/Blau_Card-LL.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"simple, virtual",wps-cashlib-card,"CashLib Card",1,0,visible,"A secure prepaid card enables safe and convenient online transactions across a wide network of partners.","Cashlib offers a secure prepaid solution, allowing convenient and anonymous online transactions across various websites. Its easy voucher system makes it a reliable choice for digital payments. A secure prepaid card enables safe and convenient online transactions across a wide network of partners.",,,taxable,,1,,,0,0,,,,,1,,,200,"Most Popular products",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/CASHlib_Card-LL.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"simple, virtual",wps-congstar-card,"Congstar Cards",1,0,visible,"Known for reliable mobile services, Congstar offers diverse plans and options for seamless communication.","Renowned for its reliable mobile services, Congstar offers customizable plans and excellent network coverage, ensuring uninterrupted communication and data connectivity. Known for reliable mobile services, Congstar offers diverse plans and options for seamless communication.",,,taxable,,1,,,0,0,,,,,1,,150,300,"Most Popular products",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/congstar_Card-LL.jpg,,,,,,,,,0,"The actual key of your ACF field group. This code should be placed in a template file or within the appropriate context where PHP code execution is supported within your WordPress environment. Adjustments to the field group key and structure can be made as needed.",field_65684ac67651f,"Why top up your Google need and enter?",field_65701930aac8f,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_65701982aac90,,field_657018baaac8e,"What top up your Google play plan simply amount you need and enter?",field_657019f9aac95,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_657019f9aac96,,field_657019f9aac94,"How your Google play plan simply amount you need and enter?",field_65701a12aac98,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_65701a12aac99,,field_65701a12aac97,,,,,,
135,"simple, virtual",wps-douglas-card,"Douglas Card",1,0,visible,"A card offering beauty and lifestyle solutions through partnerships with Douglas, providing exclusive benefits and offers.","Partnering with Douglas, this card presents exclusive benefits in beauty, lifestyle, and wellness, providing discounts, VIP access, and special offers on premium products. A card offering beauty and lifestyle solutions through partnerships with Douglas, providing exclusive benefits and offers.",,,taxable,,1,,,0,0,,,,,1,,360,500,"Top categories > Game cards",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/d8d3517e1774f178e49b221f7c19ed50_1652198870376.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"simple, virtual",wps-roshmann-card,Rossmann,1,0,visible,"Similar to Douglus Card, Roshmann provides access to beauty and lifestyle products with its dedicated card, featuring exclusive perks.","Like Douglas Card, Roshmann provides privileged access to beauty and lifestyle products, offering exclusive discounts and perks through its dedicated card. Roshmann provides access to beauty and lifestyle products with its dedicated card, featuring exclusive perks.",,,taxable,,1,,,0,0,,,,,1,,,350,"Top categories > Game cards, Most Popular products",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/d26dec819a49a88587c6519a33f59c38_1627475305276.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"simple, virtual",wps-decath-card,Decathlon,1,0,visible,"Catering to sports enthusiasts, Decathlon's card provides access to sports gear, equipment, and exclusive member benefits.","Tailored for sports enthusiasts, Decathlon's card unlocks benefits, discounts, and early access to sports gear, equipment, and apparel, enhancing the sports experience for cardholders.",,,taxable,,1,,,0,0,,,,,1,,,400,"Top categories > Charge Cellphone",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/Decathlon_ProductCard_-2.jpg,,,,,,,,,0,"Decathlon The actual key of your ACF field group. This code should be placed in a template file or within the appropriate context where PHP code execution is supported within your WordPress environment. Adjustments to the field group key and structure can be made as needed.",field_65684ac67651f,"Why top up your Google need and enter?",field_65701930aac8f,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_65701982aac90,,field_657018baaac8e,"What top up your Google play plan simply amount you need and enter?",field_657019f9aac95,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_657019f9aac96,,field_657019f9aac94,"How your Google play plan simply amount you need and enter?",field_65701a12aac98,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_65701a12aac99,,field_65701a12aac97,,,,,,
138,"simple, virtual",wps-flexipin-card,Flexipin,1,0,visible,,"Offering secure prepaid solutions for online payments, Flexipin ensures safe transactions across various platforms.",,,taxable,,1,,,0,0,,,,,1,,240,260,"Top categories > Charge Cellphone, Most Popular products",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/flexin.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"simple, virtual",wps-google-play,"Google Play",1,0,visible,"Access an extensive digital library of apps, games, movies, music, and books with Google Play credits, providing entertainment and content for Android users.","Access a vast array of digital content, including apps, games, movies, and books, with Google Play's digital credit.",,,taxable,,1,,,0,0,,,,,1,,236,240,"Most Popular products > Flixbus, Top categories > Game cards, Most Popular products > Invoice Recharge, Most Popular products, Top categories > Prepaid Payment Method",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/google.jpg,,,,,,,,,0,"The actual key of your ACF field group. This code should be placed in a template file or within the appropriate context where PHP code execution is supported within your WordPress environment. Adjustments to the field group key and structure can be made as needed.",field_65684ac67651f,,,,,"Extending the WooCommerce category edit screen in the admin backend to include multiple input fields involves customizing the WordPress admin interface and integrating additional fields into the category edit form. Here's a general guide on how you can achieve",field_6568318c694d5,,,,,"Utilize plugins like Advanced Custom Fields, which allows easy creation of custom fields and integrating them into various sections of WordPress, including WooCommerce category pages.",field_65683e7cc89f5,,,,,"Develop a custom plugin or extension specifically tailored for adding extra fields to the WooCommerce category edit page. This involves creating custom code as demonstrated in Method 1 but packaged as a plugin.",field_65683e9ac89f6,,,,,,
140,"simple, virtual",wps-lush-hero,"Lush Hero",1,0,visible,"Championing eco-friendly products, Lush Hero offers a variety of ethical","Championing eco-friendly products, Lush Hero offers a variety of ethical and sustainable options in skincare, haircare, and bath products, promoting a cleaner lifestyle.",,,taxable,,1,,,0,0,,,,,1,,650,680,"Top categories > Game cards",,,http://wp-swings-theme.local/wp-content/uploads/2023/11/LUSH_Hero_BathBomb_600x400_LOGO-1.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
